Alfred,ˈælfɹəd,,['proper noun']
Alfredo,alˈfredo,,['proper noun']
Alger,əʎˈʒe,,['proper noun']
Algeria,ælˈdʒɪəɹi.ə,,['proper noun']
Algerian,ælˈdʒɪɹi.ən,,['proper noun']
Algiers,ælˈdʒɪəz,,['proper noun']
Algol,alˈɡol,,['proper noun']
Algonquian,ælˈɡɒŋk(w)i.ən,,['proper noun']
Algonquin,ælˈɡɒŋk(w)ɪn,,['proper noun']
Alhambra,alˈambɾa,,['proper noun']
Ali,ˈɑːli,,['proper noun']
Alice,ˈæl.ɪs,,['proper noun']
Alicia,əˈliːsi.ə,,['proper noun']
Alighieri,a.liˈɡjɛ.ri,,['proper noun']
Aline,a.lin,,['proper noun']
Alisa,ˈɑlisɑ,,['proper noun']
Alison,ˈælɪsən,,['proper noun']
Alistair,ˈæl.i.stɚ,,['proper noun']
Allah,əˈlɑː,,['proper noun']
Allahabad,ˌæləhəˈbæd,,['proper noun']
Allan,ˈɑlːɑn,,['proper noun']
Allegheny,ˌæl.ɪˈɡeɪ.ni,,['proper noun']
Allen,ˈæ.lən,,['proper noun']
Allende,aˈʝende,,['proper noun']
Allies,ˈælaɪz,,['proper noun']
Allison,ˈælɪsən,,['proper noun']
Alma,ˈɑlmɑ,,['proper noun']
Almighty,ɔːlˈmaɪti,,['proper noun']
Alonzo,aːˈlɔn.zoː,,['proper noun']
Alphonse,al.fɔ̃s,,['proper noun']
Alpine,ˈæl.paɪn,,['proper noun']
Alpo,ˈɑlpo,,['proper noun']
Alps,ælps,,['proper noun']
Alsace,ælˈseɪs,,['proper noun']
Alsatian,ælˈseɪʃən,,['proper noun']
Altai,əlˈtaj,,['proper noun']
Altaic,ælˈteɪ.ɪk,,['proper noun']
Altair,ˈɔːltɛə(ɹ),,['proper noun']
Altamira,altaˈmiɾa̝,,['proper noun']
Altman,ˈɔːltmən,,['proper noun']
Alton,ˈɔːltən,,['proper noun']
Alvarado,albaˈɾado,,['proper noun']
Alvarez,ˈælvəɹɛz,,['proper noun']
Alvaro,alˈva.ro,,['proper noun']
Alzheimer,ˈaltshaɪ̯mər,,['proper noun']
Amalia,əˈmɑli.ə,,['proper noun']
Amanda,əˈmændə,,['proper noun']
Amarillo,æməˈɹɪloʊ,,['proper noun']
