Leu,lø,m,['nom propre']
Loup,lu,m,['nom propre']
Macaire,ma.kɛʁ,m,['nom propre']
Mamert,ma.mɛʁ,m,['nom propre']
Marceau,maʁ.so,m,['nom propre']
Mathurin,ma.ty.ʁɛ̃,m,['nom propre']
Matthias,ma.tjas,m,['nom propre']
Narcisse,naʁ.sis,m,['nom propre']
Néhémie,ne.e.mi,m,['nom propre']
Noé,nɔ.e,m,['nom propre']
Octave,ɔk.tav,m,['nom propre']
Odon,o.dɔ̃,m,['nom propre']
Oger,ɔ.ʒe,m,['nom propre']
Oury,u.ʁi,m,['nom propre']
Parfait,paʁ.fɛ,m,['nom propre']
Pépin,pe.pɛ̃,m,['nom propre']
Réjean,ʁe.ʒɑ̃,m,['nom propre']
Roch,ʁɔk,m,['nom propre']
Savinien,sa.vi.njɛ̃,m,['nom propre']
Scholastique,skɔ.las.tik,f,['nom propre']
Séverin,se.vʁɛ̃,m,['nom propre']
Sidoine,si.dwan,m,['nom propre']
Sigismond,siʒismɔ̃,m,['nom propre']
Étienne,e.tjɛn,m,['nom propre']
Sylvestre,sil.vɛstʁ,m,['nom propre']
Victorien,vik.tɔ.ʁjɛ̃,m,['nom propre']
Victorin,vik.tɔ.ʁɛ̃,m,['nom propre']
Zéphirin,ze.fi.ʁɛ̃,m,['nom propre']
Durand,dy.ʁɑ̃,m,['nom propre']
Dupont,dy.pɔ̃,m,['nom propre']
Lambert,lɑ̃.bɛʁ,m,['nom propre']
Fontaine,fɔ̃.tɛn,f,['nom propre']
Rousseau,ʁu.so,m,['nom propre']
Faure,fɔʁ,,['nom propre']
Mercier,mɛʁ.sje,,['nom propre']
Blanc,blɑ̃,m,['nom propre']
Guerin,ɡɛ.ʁɛ̃,m,['nom propre']
Boyer,bwa.je,,['nom propre']
Chevalier,ʃə.va.lje,,['nom propre']
Francois,frɑ̃.swa,,['nom propre']
Legrand,lə.ɡʁɑ̃,m,['nom propre']
Gauthier,ɡo.tje,m,['nom propre']
Perrin,pɛ.ʁɛ̃,m,['nom propre']
Robin,ʁɔ.bɛ̃,m,['nom propre']
Morin,mɔ.ʁɛ̃,m,['nom propre']
Henry,ɑ̃.ʁi,,['nom propre']
Roussel,ʁu.sɛl,,['nom propre']
Mathieu,ma.tjø,m,['nom propre']
Gautier,ɡo.tje,m,['nom propre']
Masson,ma.sɔ̃,,['nom propre']
Marchand,maʁ.ʃɑ̃,m,['nom propre']
Duval,dy.val,m,['nom propre']
Dumont,dy.mɔ̃,m,['nom propre']
Marie,ma.ʁi,f,['nom propre']
Lemaire,lə.mɛʁ,,['nom propre']
Meyer,maɪ̯ɐ,m,['nom propre']
Dufour,dy.fuʁ,m,['nom propre']
Meunier,mø.nje,m,['nom propre']
Brun,bʁœ̃,f,['nom propre']
Blanchard,blɑ̃.ʃaʁ,,['nom propre']
Giraud,ʒi.ʁo,,['nom propre']
Joly,ʒɔ.li,,['nom propre']
Lucas,ly.ka,m,['nom propre']
Arnaud,aʁ.no,m,['nom propre']
Martinez,maʁ.ti.nɛz,m,['nom propre']
Gerard,ʒe.ʁaʁ,m,['nom propre']
Renard,ʁə.naʁ,m,['nom propre']
Schmitt,ʃmit,,['nom propre']
Roy,ʁɔj,m,['nom propre']
Colin,kɔ.lɛ̃,m,['nom propre']
Vidal,vi.dal,m,['nom propre']
Caron,ka.ʁɔ̃,m,['nom propre']
Roger,ʁɔ.ʒe,m,['nom propre']
Fabre,fɑbʁ,,['nom propre']
Lemoine,lə.mwan,m,['nom propre']
Lacroix,la.kʁwa,,['nom propre']
Philippe,fi.lip,m,['nom propre']
Bourgeois,buʁ.ʒwa,m,['nom propre']
Pierre,pjɛʁ,m,['nom propre']
Benoit,bə.nwa,m,['nom propre']
Payet,pa.jɛt,,['nom propre']
Rolland,ʁɔ.lɑ̃,m,['nom propre']
Leclercq,lə.klɛʁ,,['nom propre']
Guillaume,ɡi.jom,m,['nom propre']
Lecomte,lə.kɔ̃t,,['nom propre']
Lopez,lɔ.pɛz,,['nom propre']
Jean,ʒɑ̃,m,['nom propre']
Dupuy,dy.pɥi,m,['nom propre']
Hubert,y.bɛʁ,m,['nom propre']
Berger,bɛʁ.ʒe,m,['nom propre']
Carpentier,kaʁ.pɑ̃.tje,m,['nom propre']
Sanchez,sanˈt͡ʃeθ,,['nom propre']
Moulin,mu.lɛ̃,,['nom propre']
Louis,lwi,m,['nom propre']
Deschamps,de.ʃɑ̃,,['nom propre']
Huet,ɥɛt,,['nom propre']
Vasseur,va.sœʁ,,['nom propre']
Boucher,bu.ʃe,,['nom propre']
Fleury,flœ.ʁi,m,['nom propre']
Jacquet,ʒa.kɛ,,['nom propre']
Adam,a.dɑ̃,m,['nom propre']
Paris,pa.ʁi,m,['nom propre']
Poirier,pwa.ʁje,m,['nom propre']
Marty,maʁ.ti,m,['nom propre']
Aubry,o.bʁi,m,['nom propre']
Guyot,ɡɥi.o,,['nom propre']
Charles,ʃaʁl,m,['nom propre']
Renault,ʁə.no,m,['nom propre']
Maillard,ma.jaʁ,,['nom propre']
Baron,ba.ʁɔ̃,m,['nom propre']
Bertin,bɛʁ.tɛ̃,m,['nom propre']
Herve,ɛʁv,,['nom propre']
Schneider,ˈʃnaɪ̯dɐ,m,['nom propre']
Fernandez,fɛʁ.nɑ̃.dɛz,,['nom propre']
Le Gall,lə.ɡal,,['nom propre']
Collet,kɔ.lɛ,f,['nom propre']
Leger,lə.ʒe,,['nom propre']
Bouvier,bu.vje,m,['nom propre']
Millet,mi.lɛ,,['nom propre']
Daniel,da.njɛl,m,['nom propre']
Le Roux,lə ʁu,,['nom propre']
Cousin,kuˈzɛ̃ː,m,['nom propre']
Germain,ʒɛʁ.mɛ̃,m,['nom propre']
Breton,bʁə.tɔ̃,m,['nom propre']
Besson,Besson,,['nom propre']
Langlois,lɑ̃.ɡlwa,,['nom propre']
Remy,re.mi,m,['nom propre']
Leblanc,lə.blɑ̃,,['nom propre']
Barre,baʁ,m,['nom propre']
Lebrun,lə.bʁœ̃,,['nom propre']
Marchal,maʁ.ʃal,,['nom propre']
Weber,ve.bɛʁ,,['nom propre']
Hamon,a.mɔ̃,m,['nom propre']
Boulanger,bu.lɑ̃.ʒe,m,['nom propre']
Jacob,ʒa.kɔb,m,['nom propre']
Michaud,mi.ʃo,,['nom propre']
Rodriguez,ʁɔ.dʁi.ɡɛs,,['nom propre']
Guichard,ɡi.ʃaʁ,m,['nom propre']
Gillet,ʒi.lɛ,,['nom propre']
Poulain,pu.lɛ̃,m,['nom propre']
Chevallier,ʃə.va.lje,,['nom propre']
Collin,kɔ.lɛ̃,m,['nom propre']
Chauvin,ʃɔvɛ̃,,['nom propre']
Da Silva,da sil.va,,['nom propre']
Bouchet,bu.ʃɛ,,['nom propre']
Lemaitre,lə.mɛːtʁ,,['nom propre']
Benard,bə.naʁ,,['nom propre']
Humbert,œ̃.bɛʁ,m,['nom propre']
Reynaud,re.no,,['nom propre']
Antoine,ɑ̃.twan,m,['nom propre']
Perret,pe.ʁɛ,,['nom propre']
Pichon,pi.ʃɔ̃,,['nom propre']
Lejeune,lə.ʒœn,m,['nom propre']
Gilbert,ʒil.bɛʁ,m,['nom propre']
Lamy,la.mi,,['nom propre']
Delaunay,də.lo.nɛ,,['nom propre']
Pasquier,pakje,,['nom propre']
Carlier,kaʁ.lje,,['nom propre']
Laporte,la.pɔʁt,,['nom propre']
