a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
assent,əˈsɛnt,,"['verb', 'noun']"
assented,əˈsɛntɪd,,"['adjective', 'verb']"
assert,əˈsɜːt,,"['verb', 'noun']"
asserted,əˈsɜːtɪd,,"['adjective', 'verb']"
assertion,əˈsɜːʃən,,['noun']
assertive,əˈsɝtɪv,,['adjective']
asses,ˈæsɪz,,"['verb', 'noun']"
assess,əˈsɛs,,['verb']
assessed,əˈsɛst,,['verb']
assesses,əˈsɛsɪz,,['verb']
assessing,əˈsɛsɪŋ,,"['verb', 'noun']"
assessor,əˈsɛsɚ,,['noun']
asset,ˈæsɪt,,"['verb', 'noun']"
assets,ˈæsets,,['noun']
asseverate,asseu̯eːˈraːteː,,"['adverb', 'verb']"
asseveration,əˌsɛvəˈɹeɪʃən,,['noun']
asshole,ˈæsˌhoʊl,,['noun']
assiduous,əˈsɪdjuːəs,,['adjective']
assign,əˈsaɪn,,"['verb', 'noun']"
assignable,əˈsaɪnəbl̩,,['adjective']
assignation,æsɪɡˈneɪʃən,,['noun']
assigned,əˈsaɪnd,,['verb']
assigner,aɪnə(ɹ,,"['verb', 'noun']"
assimilate,əˈsɪmɪleɪt,,"['verb', 'noun']"
assimilation,əˌsɪməˈleɪʃən,,['noun']
assist,əˈsɪst,,"['verb', 'noun']"
assistance,əˈsɪstəns,,['noun']
assistant,əˈsɪstənt,,"['verb', 'adjective', 'noun']"
assisted,əˈsɪstɪd,,['verb']
assisting,əˈsɪstɪŋ,,"['verb', 'adjective', 'noun']"
assistive,əˈsɪstɪv,,['adjective']
assists,əˈsɪsts,,"['verb', 'noun']"
assize,əˈsaɪz,,"['verb', 'noun']"
associate,əˈsəʊʃieɪt,,"['verb', 'adjective', 'noun']"
associated,əˈsəʊʃieɪtɪd,,"['adjective', 'verb']"
associates,əˈsoʊʃiəts,,"['verb', 'noun']"
association,əˌsəʊʃiˈeɪʃən,,['noun']
associations,əˌsoʊʃiˈeɪʃənz,,['noun']
associative,əˈsoʊʃiətɪv,,['adjective']
assonance,ˈæsənəns,,"['verb', 'noun']"
assort,əˈsɔːt,,['verb']
assortative,asɔʁtativ,,['adjective']
assortment,əˈsɔːtmənt,,['noun']
assuage,əˈsweɪdʒ,,['verb']
assume,əˈsjuːm,,['verb']
assumes,asym,,['verb']
assuming,əˈsjuːmɪŋ,,"['verb', 'adjective', 'noun']"
assumption,əˈsʌmpʃən,,['noun']
assurance,əˈʃʊɹəns,,['noun']
assure,əˈʃʊə,,['verb']
assured,əˈʃʊəd,,"['verb', 'adjective', 'noun']"
assuredly,əˈʃʊɹɪdli,,['adverb']
astatine,ˈastətiːn,,['noun']
aster,ˈæstə(ɹ),,"['adverb', 'verb', 'noun']"
asterisk,ˈæstəɹɪsk,,"['verb', 'noun']"
astern,əˈstɝn,,"['adverb', 'adjective']"
asteroid,ˈæstəɹoɪd,,['noun']
asteroids,ˈæstəˌɹoɪdz,,['noun']
asthma,ˈasmə,,['noun']
asthmatic,æsˈθmætɪk,,"['adjective', 'noun']"
astigmatism,əˈstɪɡmətɪzm̩,,['noun']
astir,əˈstɜː(ɹ),,['adjective']
astonish,əˈstɒnɪʃ,,['verb']
astonishing,əˈstɒnɪʃɪŋ,,"['adjective', 'verb']"
astonishment,əˈstɒnɪʃmənt,,['noun']
astound,əˈstaʊnd,,"['adjective', 'verb']"
astounding,aʊndɪ,,"['adjective', 'verb']"
astraddle,əˈstɹædəl,,"['adverb', 'preposition']"
astrakhan,æstɹəˈkæn,,['noun']
astral,ˈæstɹəl,,"['adjective', 'noun']"
astray,əˈstɹeɪ,,['adverb']
astride,əˈstɹaɪd,,"['adverb', 'preposition']"
astringency,əˈstɹɪndʒənsi,,['noun']
astringent,əˈstɹɪndʒənt,,"['verb', 'adjective', 'noun']"
astrolabe,ˈæstɹəˌleɪb,,['noun']
astrolabes,astʁɔlab,,['noun']
astrologer,əˈstrɒlədʒə(ɹ),,['noun']
astrology,əˈstɹɒlədʒi,,['noun']
astronaut,ˈæstɹəˌnɔːt,,['noun']
astronomer,əˈstɹɒnəmə,,['noun']
astronomical,ˌæstɹəˈnɒmɪkəl,,['adjective']
astronomy,əˈstɹɑnəmi,,['noun']
astrophysics,ˌæstɹoʊˈfɪzɪks,,['noun']
astute,əsˈtjuːt,,"['adverb', 'adjective', 'verb']"
asunder,əˈsʌndə,,['adverb']
asylum,əˈsaɪləm,,['noun']
asylums,əˈsaɪləmz,,['noun']
asymmetric,ˌeɪsəˈmɛtrɪk,,['adjective']
asymmetrical,ˌeɪsɪˈmɛtɹɪk(ə)l,,['adjective']
asymmetry,eɪˈsɪmɪtɹi,,['noun']
asymptomatic,ætɪ,,"['adjective', 'noun']"
asymptotic,ˌæsəm(p)ˈtɒtɪk,,['adjective']
asynchronous,eɪˈsɪŋkɹənəs,,['adjective']
at,æt,,"['conjunction', 'adverb', 'preposition', 'noun', 'verb', 'pronoun']"
atavism,ˈætəˌvɪzəm,,['noun']
atavistic,ætəˈvɪstɪk,,['adjective']
ataxia,əˈtæksɪə,,['noun']
ataxic,æksɪ,,"['adjective', 'noun']"
ate,eɪt,,"['interjection', 'adverb', 'noun', 'pronoun', 'verb']"
atelier,ætəlˈjeɪ,,['noun']
atheism,ˈeɪθiɪzəm,,['noun']
atheist,ˈeɪθiɪst,,"['verb', 'adjective', 'noun']"
atherosclerosis,ˌæθɚoʊskləˈɹoʊsəs,,['noun']
athirst,əˈθəːst,,['adjective']
athlete,ˈæθliːt,,['noun']
athletic,æθˈlɛtɪk,,"['adjective', 'noun']"
athletics,æθˈlɛtɪks,,['noun']
athwart,əˈθwɔː(ɹ)t,,"['adverb', 'preposition']"
atishoo,əˈtɪʃuː,,"['interjection', 'noun']"
atlas,ˈætləs,,['noun']
atmosphere,ˈætməsˌfɪə(ɹ),,['noun']
atmospheric,ˌætməsˈfɛɹɪk,,['adjective']
atoll,ˈætɒl,,['noun']
atom,ˈætəm,,['noun']
atomic,əˈtɔmɪk,,"['adjective', 'noun']"
atoms,ˈatəmz,,['noun']
atonal,eɪˈtoʊnəl,,['adjective']
atone,əˈtəʊn,,"['adjective', 'verb']"
atonement,əˈtoʊnmənt,,['noun']
atop,əˈtɒp,,"['adverb', 'preposition', 'verb', 'noun']"
atria,ˈɑtriɑ,,['noun']
atrial,ətɾiˈal,,['adjective']
atrium,ˈeɪtɹiəm,,['noun']
atrocious,əˈtɹəʊʃəs,,['adjective']
atrocity,əˈtɹɒsɪti,,['noun']
atrophy,ˈætɹəfi,,"['verb', 'noun']"
atropine,ˈatɹəpiːn,,['noun']
attach,əˈtætʃ,,['verb']
attached,əˈtæt͡ʃt,,"['adjective', 'verb']"
attaching,əˈtætʃɪŋ,,['verb']
attachment,əˈtætʃmənt,,['noun']
attaché,əˈtæʃeɪ,,"['verb', 'noun']"
attack,əˈtæk,,"['verb', 'noun']"
attacked,əˈtækt,,['verb']
attacker,əˈtækɚ,,['noun']
attacking,əˈtækɪŋ,,"['adjective', 'verb']"
attacks,əˈtæks,,"['verb', 'noun']"
attain,əˈteɪn,,['verb']
attainable,əˈteɪnəb(ə)l,,"['adjective', 'noun']"
attained,əˈteɪnd,,"['adjective', 'verb']"
attaining,əˈteɪnɪŋ,,['verb']
attainment,əˈteɪnmənt,,['noun']
attainments,əˈteɪnmənts,,['noun']
attains,əˈteɪnz,,['verb']
attar,ˈætə,,['noun']
attempt,əˈtɛmpt,,"['verb', 'noun']"
attempted,əˈtɛmptɪd,,"['adjective', 'verb']"
attempting,əˈtɛmptɪŋ,,['verb']
attempts,əˈtɛmpts,,"['verb', 'noun']"
attend,əˈtɛnd,,['verb']
attendance,əˈtɛndəns,,['noun']
attendant,əˈtɛndənt,,"['verb', 'adjective', 'noun']"
attendants,əˈtɛndənts,,['noun']
attended,əˈtɛndɪd,,"['adjective', 'verb']"
attender,ɛndə(ɹ,,"['verb', 'noun']"
attending,əˈtɛndɪŋ,,"['verb', 'adjective', 'noun']"
attends,atɑ̃,,['verb']
attention,əˈtɛnʃən,,"['interjection', 'noun']"
attentive,əˈtɛntɪv,,['adjective']
attenuate,əˈtɛnjuˌeɪt,,"['adjective', 'verb']"
attenuation,eɪʃə,,['noun']
attest,əˈtɛst,,"['verb', 'noun']"
attestation,ˈætɛsteɪʃən,,['noun']
attested,əˈtɛstɪd,,"['adjective', 'verb']"
attesting,əˈtɛstɪŋ,,['verb']
attests,əˈtɛsts,,"['verb', 'noun']"
attic,ˈætɪk,,['noun']
attire,əˈtaɪə(ɹ),,"['verb', 'noun']"
attired,aɪə(ɹ),,"['adjective', 'verb']"
attiring,aɪəɹɪ,,"['verb', 'noun']"
attitude,ˈætɪˌtjuːd,,"['verb', 'noun']"
attitudinize,ˌætɪˈtjuːdɪnaɪz,,['verb']
attorney,əˈtɜː(ɹ)ni,,"['verb', 'noun']"
attract,əˈtɹækt,,['verb']
attractant,əˈtɹæktənt,,"['verb', 'noun']"
attracted,əˈtɹæktɪd,,"['adjective', 'verb']"
attraction,əˈtɹækʃən,,['noun']
attractive,əˈtɹæktɪv,,['adjective']
attributable,əˈtɹɪbjuːtəbəl,,['adjective']
attribute,ˈætɹɪbjuːt,,"['verb', 'adjective', 'noun']"
attributive,əˈtɹɪbjutɪv,,"['adjective', 'noun']"
attributively,əˈtɹɪbjutɪvli,,['adverb']
attrition,əˈtɹɪʃən,,"['verb', 'noun']"
attune,əˈtjuːn,,['verb']
atwitter,əˈtwɪtə(ɹ),,['adjective']
atypical,eɪˈtɪpɪkəl,,"['adjective', 'noun']"
aubergine,ˈoʊbɚʒin,,['noun']
auburn,ˈɔbɚn,,"['adjective', 'noun']"
auction,ˈɔːkʃən,,"['verb', 'noun']"
auctioneer,ɪə(ɹ,,"['verb', 'noun']"
audacious,ɔːˈdeɪʃəs,,['adjective']
audaciously,ɔˈdeɪʃəsli,,['adverb']
audaciousness,ɔˈdeɪʃəsnəs,,['noun']
audacity,ɔːˈdæsɪti,,['noun']
audible,ˈɔːdɪbl̩,,"['verb', 'adjective', 'noun']"
audience,ˈɔːdiəns,,['noun']
audio,ˈɔːdiəʊ,,"['verb', 'adjective', 'noun']"
audiology,ɔːdiˈɒləd͡ʒi,,['noun']
audiophile,ˌɔːdiəʊˈfaɪl,,['noun']
audiovisual,ˌɔːdiəʊˈvɪzjʊəl,,['adjective']
audit,ˈɔːdɪt,,"['verb', 'noun']"
audition,ɔːˈdɪʃən,,"['verb', 'noun']"
auditor,ˈɔːdɪtə(ɹ),,"['verb', 'adjective', 'noun']"
auditorium,ɔːdɪˈtɔːɹiəm,,"['adjective', 'noun']"
auditory,ˈɔːdɪtəɹi,,"['adjective', 'noun']"
audits,ɔːdɪts,,"['verb', 'noun']"
auger,ˈɔːɡə(ɹ),,"['verb', 'noun']"
aught,ɔːt,,"['adverb', 'noun', 'adjective', 'pronoun', 'verb']"
aughts,ɒːts,,"['adjective', 'noun']"
augment,ɔːɡˈmɛnt,,"['verb', 'noun']"
augmentation,eɪʃə,,['noun']
augmenter,ɛntə(ɹ,,"['verb', 'noun']"
augur,ˈɔːɡə,,"['verb', 'noun']"
augurs,ˈɔːɡəz,,"['verb', 'noun']"
augury,ˈɔːɡjʊɹi,,['noun']
august,ɔːˈɡʌst,,"['verb', 'adjective', 'noun']"
auk,ɔːk,,"['preposition', 'verb', 'conjunction', 'noun']"
aunt,ɑ(ː)nt,,['noun']
auntie,ˈænti,,"['verb', 'noun']"
aura,ˈɔːɹə,,"['verb', 'noun']"
aural,ˈɔːɹəl,,['adjective']
aurally,ˈɔːɹəli,,['adverb']
auras,oʁɑ,,"['verb', 'noun']"
aureole,ˈɔːɹiːˌəʊl,,"['verb', 'adjective', 'noun']"
aureus,ˈɔːɹɪəs,,"['adjective', 'noun']"
auricle,ˈɔːɹɪkəl,,['noun']
auricular,ɔːˈɹɪkjʊlə,,"['adjective', 'noun']"
aurora,əˈɹɔːɹə,,['noun']
auscultation,ˌɔːskəlˈteɪʃən,,['noun']
auspice,ˈɔːspɪs,,"['verb', 'noun']"
auspices,ˈau̯spikeːs,,['noun']
auspicious,ɔːˈspɪʃəs,,['adjective']
austere,ɒˈstɪə(ɹ),,"['adjective', 'noun']"
austerely,ɔˈstiəɹli,,['adverb']
austerity,ɔˈstɛɹɪti,,['noun']
austral,ˈɒstɹəl,,"['adjective', 'noun']"
authentic,ɔˈθɛntɪk,,['adjective']
authenticate,ɔˈθɛntɪkeɪt,,"['adjective', 'verb']"
authentication,eɪʃə,,['noun']
authenticity,ɑθɛnˈtɪsɪti,,['noun']
author,ˈɔːθə,,"['verb', 'noun']"
authoress,ˈɔːθəɹɛs,,['noun']
authoritarian,ɔːˌθɒrɪˈtɛːrɪən,,"['adjective', 'noun']"
authoritative,ɔːˈθɒɹɪˌteɪtɪv,,['adjective']
authority,ɔːˈθɒɹəti,,['noun']
authorize,ˈɔθəɹaɪz,,['verb']
authorized,ˈɔθəɹaɪzd,,"['adjective', 'verb']"
authors,ˈɔːθəz,,"['verb', 'noun']"
autism,ˈɔːtɪzm,,['noun']
autistic,ɔːˈtɪstɪk,,"['adjective', 'noun']"
auto,ˈɔtoʊ,,"['adverb', 'verb', 'adjective', 'noun']"
autobahn,ˈaʊ̯toˌbɑːn,,['noun']
autobiographic,ˈɔːtəʊˌbaɪəɡɹæfɪkəl,,['adjective']
autobiographical,ˌɑtoʊˌbaɪəˈɡɹæfəkəl,,['adjective']
autobiographically,ˈɔːtəʊˌbaɪəɡɹæfɪk(ə)li,,['adverb']
autobiography,ˌɔːtəbaɪˈɒɡɹəfi,,['noun']
autoclave,ˈɔtəˌkleɪv,,"['verb', 'adjective', 'noun']"
autocratic,ætɪ,,['adjective']
autocratically,ˈɔːtəˌkɹætɪk(ə)liː,,['adverb']
autocross,ˈɔːtəʊˌkɹɒs,,['noun']
autodidact,ˌɔːtoʊˈdaɪdækt,,['noun']
autograph,ˈɔːtəɡrɑːf,,"['verb', 'adjective', 'noun']"
autoimmune,awtojmˈmune,,['adjective']
automate,ˈɔtoʊˌmeɪt,,"['verb', 'adjective', 'noun']"
automatic,ˌɔːtəˈmætɪk,,"['adjective', 'noun']"
automatically,ˈɔːtəʊˌmætɪk(ə)li,,['adverb']
automation,otɔmasjɔ̃,,['noun']
automatism,ɔːˈtɒmətɪzəm,,['noun']
automaton,ɔːˈtɒmətən,,['noun']
automatons,ɔːˈtɒmətənz,,['noun']
automobile,ˈɔːtəməˌbiːl,,"['verb', 'adjective', 'noun']"
automobiles,otɔmɔbil,,"['verb', 'adjective', 'noun']"
autonomic,ˌɔːtəˈnɒmɪk,,['adjective']
autonomous,ɔːˈtɒnəməs,,['adjective']
autonomy,ɔːˈtɒnəmi,,['noun']
autopsy,ˈɔːtɒpsiː,,"['verb', 'noun']"
autumn,ˈɔːtəm,,"['adjective', 'noun']"
autumnal,ɔˈtʌmnəɫ,,['adjective']
aux,ˈɑks,,"['adjective', 'conjunction']"
auxiliary,ɔːkˈsɪljəɹi,,"['adjective', 'noun']"
av,ɑːv,,"['interjection', 'adverb', 'preposition', 'noun', 'adjective', 'verb']"
avail,əˈveɪl,,"['verb', 'noun']"
availability,əˌveɪləˈbɪlɪtɪ,,['noun']
available,əˈveɪləb(ə)l,,['adjective']
avalanche,ˈævəlɑːnʃ,,"['verb', 'noun']"
avarice,ˈævəɹɪs,,['noun']
avaricious,ˌævəˈɹɪʃəs,,['adjective']
avast,əˈvɑːst,,"['interjection', 'noun']"
avatar,ˌævəˈtɑː,,['noun']
avatars,avataʁ,,['noun']
avaunt,əˈvɔːnt,,"['interjection', 'adverb', 'preposition', 'noun', 'verb']"
ave,ˈɑːveɪ,,"['interjection', 'adverb', 'noun', 'pronoun', 'verb']"
avenge,əˈvɛnd͡ʒ,,"['verb', 'noun']"
avenue,ˈævəˌnjuː,,"['adjective', 'noun']"
aver,əˈvɜː,,"['verb', 'noun']"
average,ˈævəɹɪd͡ʒ,,"['verb', 'adjective', 'noun']"
avers,avɛʁ,,"['verb', 'noun']"
averse,əˈvɜː(ɹ)s,,"['verb', 'adjective', 'noun']"
aversion,əˈvɜːʃn,,['noun']
avert,əˈvɜːt,,"['adjective', 'verb']"
averted,əˈvɝtɪd,,"['adjective', 'verb']"
avian,ˈeɪviən,,"['adjective', 'noun']"
aviary,ˈeɪvɪəɹi,,['noun']
aviation,eɪviˈeɪʃən,,['noun']
aviator,aviaˈtor,,['noun']
aviatrices,eɪviˈeɪtɹɪsiːz,,['noun']
aviatrix,ˈeɪvieɪtɹɪks,,['noun']
avid,ˈævɪd,,['adjective']
avidity,əˈvɪdɪti,,['noun']
avionic,eɪviˈɒnɪk,,['adjective']
avionics,eɪviˈɒnɪks,,['noun']
avocado,ævəˈkɑːdəʊ,,"['verb', 'adjective', 'noun']"
avocados,aboˈkados,,"['verb', 'noun']"
avocation,avə(ʊ)ˈkeɪʃən,,['noun']
avoid,əˈvɔɪd,,['verb']
avoidable,əˈvɔɪdəbl̩,,"['adjective', 'noun']"
avoidance,əˈvɔɪdəns,,['noun']
avoided,əˈvɔɪdɪd,,['verb']
avoiding,əˈvɔɪdɪŋ,,"['verb', 'noun']"
avoids,əˈvɔɪdz,,['verb']
avoirdupois,ˌævədəˈpɔɪz,,['noun']
avow,əˈvaʊ,,"['verb', 'noun']"
avowal,aʊə,,['noun']
avowed,əˈvaʊd,,"['adjective', 'verb']"
avows,aʊ,,['verb']
avuncular,əˈvʌŋkjʊlə,,['adjective']
aw,ɔː,,"['interjection', 'adverb', 'noun', 'adjective', 'verb', 'pronoun']"
await,əˈwɛɪt,,"['verb', 'noun']"
awaited,əˈweɪtɪd,,['verb']
awaiting,əˈweɪtɪŋ,,['verb']
awaits,əˈweɪts,,"['verb', 'noun']"
awake,əˈweɪk,,"['adjective', 'verb']"
awaken,əˈweɪkən,,['verb']
awakened,əˈweɪkənd,,"['adjective', 'verb']"
awakening,əˈweɪ̯kənɪŋ,,"['verb', 'adjective', 'noun']"
award,əˈwɔːd,,"['verb', 'noun']"
awardee,əwɔɹˈdi,,['noun']
aware,əˈwɛɚ,,['adjective']
awareness,əˈwɛɹnəs,,['noun']
awash,əˈwɒʃ,,['adjective']
away,əˈweɪ,,"['interjection', 'adverb', 'noun', 'adjective', 'verb']"
awe,ɔː,,"['interjection', 'adverb', 'noun', 'pronoun', 'verb']"
awed,ɔːd,,"['adjective', 'verb']"
aweigh,əˈweɪ,,['adjective']
awes,ɔː,,['verb']
awesome,ˈɔːsəm,,"['adjective', 'noun']"
awesomeness,ˈɔːsəmnəs,,['noun']
awful,ˈɔːfʊl,,"['adverb', 'adjective']"
awfully,ˈɔːfʊli,,['adverb']
awhile,əˈwaɪl,,['adverb']
awing,əˈwɪŋ,,"['adverb', 'verb']"
awkward,ˈɔːkwəd,,"['adverb', 'adjective', 'noun']"
awl,ɔːl,,"['adjective', 'noun']"
awn,ɔːn,,"['verb', 'interjection', 'noun']"
awning,ˈɔːnɪŋ,,['noun']
awoke,əˈwəʊk,,['verb']
awoken,əʊkə,,['verb']
awry,əˈɹaɪ,,"['adverb', 'adjective']"
ax,æks,,"['adverb', 'verb', 'noun']"
axed,ækst,,"['adjective', 'verb']"
axes,ˈæksəz,,"['verb', 'noun']"
axial,ˈæksiəl,,"['adjective', 'noun']"
axing,ˈæksɪŋ,,"['verb', 'noun']"
axiom,ˈaksɪəm,,['noun']
axiomatic,ˌæksiəˈmætɪk,,['adjective']
axis,ˈæksɪs,,['noun']
axle,ˈæksəl,,['noun']
axles,ˈæksəlz,,['noun']
axolotl,ˈaksəˌlɒtəl,,['noun']
axon,ˈakson,,['noun']
axons,əkˈsons,,"['verb', 'noun']"
ayah,aɪə,,['noun']
ayatollah,ˌaːjaːˈtɔlaː,,['noun']
aye,eɪ,,"['adverb', 'pronoun', 'interjection', 'noun']"
ayes,aɪz,,['noun']
azalea,əˈzeɪliə,,"['adjective', 'noun']"
azimuth,ˈæzɪməθ,,['noun']
azure,ˈæʒə,,"['verb', 'adjective', 'noun']"
b,b,,"['letter', 'adjective', 'noun']"
baa,bɑː,,"['adverb', 'verb', 'interjection', 'noun']"
baas,bɑːs,,"['verb', 'adjective', 'noun']"
babble,ˈbæbl̩,,"['verb', 'noun']"
babbler,ˈbæb(ə)lə(ɹ),,['noun']
babe,beɪb,,"['verb', 'noun']"
babes,beɪbz,,"['verb', 'noun']"
babied,ˈbeɪbid,,"['adjective', 'verb']"
babies,ˈbeɪbiz,,"['verb', 'adjective', 'noun']"
baboon,bəˈbuːn,,['noun']
babushka,bəˈbuːʃkə,,['noun']
baby,ˈbeɪbi,,"['verb', 'adjective', 'noun']"
babyhood,ˈbeɪbihʊd,,['noun']
babysit,ˈbeɪbisɪt,,['verb']
babysitter,ˈbeɪbiˌsɪtɚ,,"['verb', 'noun']"
baccalaureate,bækəˈlɔːɹɪət,,['noun']
baccarat,ˈbækəɹɑː,,['noun']
bacchanal,ˈbækənəl,,"['adjective', 'noun']"
bacchanalia,ˌbækəˈnɑːlɪə,,['noun']
baccy,ˈbæki,,['noun']
bachelor,ˈbæt͡ʃələ(ɹ),,['noun']
bacillary,ɪləɹ,,['adjective']
bacillus,bæˈsɪləs,,['noun']
back,bæk,,"['adverb', 'verb', 'adjective', 'noun']"
backache,ˈbækeɪk,,['noun']
backbone,ˈbækˌbəʊn,,['noun']
backchat,ˈbæktʃæt,,"['verb', 'noun']"
backdrop,ˈbækdɹɒp,,"['verb', 'noun']"
backed,bækt,,"['adjective', 'verb']"
backer,ˈbækə(ɹ),,"['adjective', 'noun']"
backfire,bækˈfaɪə(ɹ),,"['verb', 'noun']"
backgammon,ˈbækɡæmən,,"['verb', 'noun']"
background,ˈbækɡɹaʊnd,,"['verb', 'adjective', 'noun']"
backhand,ˈbækhænd,,"['verb', 'adjective', 'noun']"
backhanded,ˈbækˌhændəd,,"['adverb', 'adjective', 'verb']"
backhoe,ˈbækhəʊ,,"['verb', 'noun']"
backing,ˈbækɪŋ(ɡ),,"['verb', 'adjective', 'noun']"
backlash,ˈbækˌlæʃ,,"['verb', 'noun']"
backless,ˈbækləs,,['adjective']
backlog,ˈbæklɒɡ,,"['verb', 'noun']"
backpack,ˈbækpæk,,"['verb', 'noun']"
backpacker,ˈbɛkˌpɛkər,,['noun']
backpedal,ˈbækˌpɛdəɫ,,['verb']
backrest,ˈbækˌɹest,,['noun']
backs,bæks,,"['verb', 'noun']"
backside,ˈbækˌsaɪd,,['noun']
backslash,ˈbækˌslæʃ,,"['verb', 'noun']"
backslider,ˈbakslaɪdə,,['noun']
backsliding,aɪdɪ,,"['verb', 'adjective', 'noun']"
backspace,ˈbækˌspeɪs,,"['verb', 'noun']"
backstabber,ˈbækˌstæbɚ,,['noun']
backstage,bækˈsteɪdʒ,,"['adverb', 'adjective', 'noun']"
backstory,ˈbækˌstɔːɹi,,['noun']
backstretch,ˈbækstɹɛtʃ,,['noun']
backstroke,ˈbækˌstɹoʊk,,"['verb', 'noun']"
backtalk,bæktɔːk,,"['verb', 'noun']"
backtrack,ˈbæktɹæk,,"['verb', 'noun']"
backup,ˈbækˌʌp,,"['verb', 'adjective', 'noun']"
backward,ˈbækwə(ɹ)d,,"['adverb', 'adjective', 'noun']"
backwardly,ˈbækwɚdli,,['adverb']
backwards,ˈbækwə(ɹ)dz,,"['adverb', 'adjective']"
backwash,ˈbækwɒʃ,,"['verb', 'noun']"
backwoods,ˈbakˌwʊdz,,"['adjective', 'noun']"
backyard,bækˈjɑːd,,['noun']
bacon,ˈbeɪkən,,['noun']
bacteria,bækˈtɪɹiə,,['noun']
bacterial,bækˈtɪəɹiəɫ,,['adjective']
bactericide,bækˈtɪəɹɪˌsaɪd,,['noun']
bacteriology,bækˌtɪəɹɪˈɒlədʒi,,['noun']
bacterium,bækˈtɪəɹɪəm,,['noun']
bad,bæd,,"['adverb', 'verb', 'adjective', 'noun']"
badder,ˈbædə(ɹ),,['adjective']
baddie,ˈbædi,,['noun']
bade,bæd,,"['verb', 'noun']"
badge,bædʒ,,"['verb', 'noun']"
badger,ˈbædʒə,,"['verb', 'noun']"
badgers,ædʒə,,"['verb', 'noun']"
badges,ædʒə,,"['verb', 'noun']"
badinage,ˌbædɪˈnɑːʒ,,"['verb', 'noun']"
badlands,ˈbædlændz,,['noun']
badly,ˈbædli,,"['adverb', 'adjective']"
badminton,ˈbædmɪntən,,['noun']
badmouth,ˈbædmaʊθ,,['verb']
badness,ˈbædnəs,,['noun']
baffle,ˈbæfl̩,,"['verb', 'noun']"
baffled,ˈbæfl̩d,,"['adjective', 'verb']"
bafflement,ˈbaf(ə)lmənt,,['noun']
bag,ˈbæɡ,,"['adverb', 'preposition', 'noun', 'adjective', 'verb']"
bagatelle,ˌbæɡəˈtɛl,,"['verb', 'noun']"
bagel,ˈbeɪɡl̩,,"['verb', 'noun']"
bagels,ˈbeɪɡəlz,,['noun']
bagful,ˈbæɡfʊɫ,,['noun']
baggage,ˈbæɡɪdʒ,,['noun']
bagged,bæɡd,,"['adjective', 'verb']"
baggie,ˈbæɡi,,['noun']
baggies,ˈbæɡiz,,['noun']
bagging,ˈbæɡɪŋ,,"['verb', 'noun']"
baggy,ˈbæɡi,,"['adjective', 'noun']"
bagpipe,ˈbæɡˌpaɪp,,"['verb', 'noun']"
bagpipes,ˈbæɡpɑɪps,,['noun']
bags,bæɡz,,"['verb', 'interjection', 'noun']"
baguette,bæˈɡɛt,,['noun']
baguettes,bæˈɡɛts,,['noun']
bah,bæ,,"['preposition', 'verb', 'interjection', 'noun']"
baht,bɑːt,,"['adverb', 'noun']"
bail,beɪ̯l,,"['conjunction', 'adverb', 'preposition', 'noun', 'verb']"
bailed,beɪld,,['verb']
bailey,ˈbeɪli,,['noun']
bailiff,ˈbeɪlɪf,,['noun']
bailiffs,ˈbeɪlɪfs,,['noun']
bailing,ˈbeɪlɪŋ,,"['verb', 'noun']"
bailiwick,ˈbeɪlɪwɪk,,['noun']
bailout,ˈbeɪlˌaʊt,,['noun']
bails,beɪlz,,"['verb', 'noun']"
bairn,bern,,"['verb', 'noun']"
bait,beɪt,,"['verb', 'adjective', 'noun']"
baited,ˈbeɪtɪd,,['verb']
baiting,ˈbeɪtɪŋ,,"['verb', 'noun']"
baits,beɪts,,"['verb', 'noun']"
baize,beɪz,,"['verb', 'noun']"
bake,beɪk,,"['verb', 'noun']"
baked,beɪkt,,"['adjective', 'verb']"
baker,ˈbeɪkə(ɹ),,"['verb', 'noun']"
bakery,ˈbeɪkəɹi,,['noun']
bakes,beɪks,,"['verb', 'noun']"
baking,ˈbeɪkɪŋ(ɡ),,"['verb', 'adjective', 'noun']"
baklava,ˈbækləvə,,['noun']
baksheesh,bækˈʃiːʃ,,"['verb', 'noun']"
balaclava,ˌbæləˈklɑːvə,,['noun']
balalaika,bæləˈlaɪkə,,['noun']
balance,ˈbæləns,,"['verb', 'noun']"
balanced,ˈbælənst,,"['adjective', 'verb']"
balboa,bælˈbəʊə,,['noun']
balcony,ˈbælkəni,,['noun']
bald,bɔːld,,"['adverb', 'verb', 'adjective', 'noun']"
balderdash,ˈbɔːldədæʃ,,"['verb', 'noun']"
balding,ɔːldɪ,,"['adjective', 'verb']"
baldric,ˈbɔːldɹɪk,,['noun']
baldy,ˈbɔːldi,,['noun']
bale,beɪ̯l,,"['adverb', 'verb', 'adjective', 'noun']"
baled,beɪld,,"['verb', 'noun']"
baleen,bəˈliːn,,"['verb', 'noun']"
baleful,ˈbeɪlfəl,,['adjective']
bales,beɪlz,,"['verb', 'noun']"
baling,ˈbeɪlɪŋ,,"['verb', 'adjective', 'noun']"
balk,bɔːk,,"['verb', 'noun']"
ball,bɔːl,,"['interjection', 'verb', 'adjective', 'noun']"
