a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
absorbency,æbsɔɹbn̩si,,['noun']
absorbent,əbˈsɔːbn̩t,,"['verb', 'adjective', 'noun']"
absorbing,əbˈzɔːbɪŋ,,"['adjective', 'verb']"
absorbingly,æbˈsɔɹbɪŋli,,['adverb']
absorption,əbˈzɔːpʃn̩,,['noun']
absorptive,æbˈsɔɹptɪv,,"['adjective', 'noun']"
abstain,əbˈsteɪn,,['verb']
abstainer,æbˈsteɪnɚ,,['noun']
abstemious,æbˈstiːmɪəs,,['adjective']
abstemiously,æbˈstimiəsli,,['adverb']
abstemiousness,æbˈstimiəsnəs,,['noun']
abstention,əbˈstɛnʃn̩,,['noun']
abstinence,ˈæbstɪnəns,,['noun']
abstinent,ˈæbstɪnn̩t,,"['verb', 'adjective', 'noun']"
abstract,ˈæbˌstɹækt,,"['verb', 'adjective', 'noun']"
abstracted,əbˈstɹæktɪd,,"['adjective', 'verb']"
abstractedly,əbˈstɹæktɪdli,,['adverb']
abstractedness,əbˈstɹæktɪdnəs,,['noun']
abstraction,əbˈstɹækʃn̩,,['noun']
abstractions,apstʁaksjɔ̃,,['noun']
abstractly,æbˈstɹæktli,,['adverb']
abstractness,æbˈstɹæknəs,,['noun']
abstruse,əbˈstɹuːs,,['adjective']
abstrusely,əbˈstɹuːsli,,['adverb']
abstruseness,əbˈstɹuːsnəs,,['noun']
absurd,əbˈsɜːd,,"['adverb', 'adjective', 'noun']"
absurdist,əbˈsɜːdəst,,"['adjective', 'noun']"
absurdity,əbˈsɜːdɪti,,['noun']
absurdly,əbˈsɜːdli,,['adverb']
absurdness,əbˈsɜːdnəs,,['noun']
abundance,əˈbʌndn̩s,,['noun']
abundant,əˈbʌndn̩t,,"['adjective', 'verb']"
abundantly,əˈbʌndn̩tli,,['adverb']
abuse,əˈbjuːs,,"['verb', 'noun']"
abused,əˈbjuːzd,,"['adjective', 'verb']"
abuser,əˈbjuːzɚ,,"['verb', 'noun']"
abuses,əˈbjuːsɪz,,"['verb', 'noun']"
abusive,əˈbjuːsɪv,,['adjective']
abusively,əˈbjuːsɪvli,,['adverb']
abusiveness,əˈbjuːsɪvnəs,,['noun']
abut,əˈbʌt,,"['preposition', 'verb', 'conjunction', 'noun']"
abutment,əˈbʌtmn̩t,,['noun']
abuts,əˈbʌts,,['verb']
abutting,əˈbʌtɪŋ,,"['verb', 'adjective', 'noun']"
abuzz,əˈbʌz,,['adjective']
abysmal,əˈbɪzməl,,['adjective']
abysmally,əˈbɪzml̩i,,['adverb']
abyss,əˈbɪs,,['noun']
abyssal,əˈbɪsl̩,,['adjective']
ac,ɑd͡ʒ,,"['conjunction', 'preposition', 'noun', 'adjective', 'pronoun']"
acacia,əˈkeɪʃə,,['noun']
academe,ˈækədiːm,,['noun']
academia,ˌækəˈdiːmɪə,,['noun']
academic,ˌækəˈdɛmɪk,,"['adjective', 'noun']"
academical,ˌækəˈdɛmɪkl̩,,"['adjective', 'noun']"
academically,ˌækəˈdɛmɪkəli,,['adverb']
academician,əˌkadəˈmɪʃn̩,,['noun']
academics,ˌækəˈdɛmɪks,,['noun']
academies,əˈkædəmiz,,['noun']
academy,əˈkædəmi,,['noun']
acanthus,əˈkænθəs,,['noun']
accede,əkˈsiːd,,['verb']
acceding,iːdɪ,,['verb']
accelerate,əkˈsɛləˌɹeɪt,,"['adjective', 'verb']"
acceleration,əkˌsɛləˈɹeɪʃən,,['noun']
accelerator,ækˈsɛləˌɹeɪtɚ,,"['verb', 'adjective', 'noun']"
accent,ˈaksənt,,"['verb', 'noun']"
accents,ˈæksɛnts,,"['verb', 'noun']"
accentual,ækˈsɛntʃuəl,,['adjective']
accentuate,əkˈsentʃueɪt,,"['adjective', 'verb']"
accentuation,ˌækˌsɛntʃəˈweɪʃən,,['noun']
accept,əkˈsɛpt,,"['verb', 'adjective', 'noun']"
acceptability,ˌækˌsɛptəˈbɪləti,,['noun']
acceptable,ækˈsɛptəbəl,,['adjective']
acceptableness,ækˈsɛptəbəlnəs,,['noun']
acceptably,ækˈsɛptəbli,,['adverb']
acceptance,əkˈsɛptəns,,['noun']
acceptation,ˌæksɛpˈteɪʃən,,['noun']
accepted,ækˈsɛptɪd,,"['adjective', 'verb']"
accepting,əkˈsɛptɪŋ,,"['adjective', 'verb']"
accepts,əkˈsɛpts,,"['verb', 'noun']"
access,ˈæksɛs,,"['verb', 'noun']"
accessed,ˈæksɛst,,['verb']
accesses,ˈæksɛsɪz,,"['verb', 'noun']"
accessibility,ækˌsɛsəˈbɪləti,,['noun']
accessible,əkˈsɛsəbəl,,['adjective']
accessibly,ækˈsɛsəbli,,['adverb']
accessing,ˈæksɛsɪŋ,,['verb']
accession,ækˈsɛʃən,,"['verb', 'noun']"
accessorize,əkˈsɛsəɹaɪz,,['verb']
accessory,əkˈsɛsəɹi,,"['adjective', 'noun']"
accident,ˈæksədənt,,"['verb', 'noun']"
accidental,ˌæksɪˈdɛntl̩,,"['adjective', 'noun']"
accidentally,ˌæksəˈdɛnt(ə)li,,['adverb']
accidentals,əksidənˈtals,,"['adjective', 'noun']"
acclaim,əˈkleɪm,,"['verb', 'noun']"
acclaimed,əˈkleɪmd,,"['adjective', 'verb']"
acclaiming,əˈkleɪmɪŋ,,"['adjective', 'verb']"
acclaims,əˈkleɪmz,,"['verb', 'noun']"
acclamation,ækləˈmeɪʃən,,['noun']
acclimate,əˈklaɪmət,,['verb']
acclimated,ˈæklɪmeɪtəd,,"['adjective', 'verb']"
acclimation,ækləˈmeɪʃən,,['noun']
acclimatization,əˌklaɪmətəˈzeɪʃən,,['noun']
acclimatize,əˈklaɪməˌtaɪz,,['verb']
acclivity,əˈklɪvəti,,['noun']
accolade,ˈækəˌleɪd,,"['verb', 'noun']"
accolades,akɔlad,,"['verb', 'noun']"
accommodate,əˈkɒməˌdeɪt,,"['adverb', 'adjective', 'verb']"
